sent_time,chat_message,cluster_num,x,y
00:00:53.335000,did you drink yet,15,1.1054909,0.96454215
00:00:53.393000,hell\1\1,6,-1.047774,-1.1831256
00:00:53.450000,hell\1\1,6,-1.047774,-1.1831256
00:00:53.624000,hii !,8,-0.38828215,-1.8322597
00:00:53.716000,h\1\1,6,-0.9812609,-0.7538617
00:00:53.756000,hi bebe,8,-0.38834763,-1.4796969
00:00:54.009000,hello !,8,-0.25256678,-1.400702
00:00:54.057000,hello !,8,-0.25256678,-1.400702
00:00:54.078000,h\1\1,6,-0.9812609,-0.7538617
00:00:54.322000,hi ! <3,8,-0.1291911,-1.7928385
00:00:54.362000,hii king,8,-0.34214732,-1.2285607
00:00:54.375000,he\1\1,6,-1.0498865,-0.841872
00:00:54.526000,he\1\1,6,-1.0498865,-0.841872
00:00:54.533000,h\1\1,6,-0.9812609,-0.7538617
00:00:54.584000,he\1\1\1\1,6,-1.0477854,-1.0807682
00:00:54.686000,h\1\1,6,-0.9812609,-0.7538617
00:00:54.741000,h\1\1,6,-0.9812609,-0.7538617
00:00:54.749000,y\1\1,6,-1.0883613,-0.78655803
00:00:54.822000,hello,1,-0.9108303,-0.45763686
00:00:54.959000,you look cute today,15,1.024538,0.5432588
00:00:55.033000,h\1\1,6,-0.9812609,-0.7538617
00:00:55.110000,is your neck ok,15,1.2438313,0.74576473
00:00:55.149000,hi,1,-0.86891156,-0.3875266
00:00:55.228000,hello !,8,-0.25256678,-1.400702
00:00:55.238000,hi,1,-0.86891156,-0.3875266
00:00:55.392000,hi,1,-0.86891156,-0.3875266
00:00:55.496000,hi :) ),8,0.11658036,-1.4404918
00:00:55.710000,h\1\1,6,-0.9812609,-0.7538617
00:00:55.722000,hi ! <3,8,-0.1291911,-1.7928385
00:00:55.860000,sup how ya doing,5,0.78309405,-0.7036489
00:00:55.999000,he\1\1,6,-1.0498865,-0.841872
00:00:56.024000,h\1\1,6,-0.9812609,-0.7538617
00:00:56.173000,hi,1,-0.86891156,-0.3875266
00:00:56.322000,why is there a bandaid on your neck,11,1.8074272,0.15640688
00:00:56.326000,hi sy\1\1,8,-0.48754892,-1.123819
00:00:56.490000,hick —,8,-0.41351292,-1.1831825
00:00:56.500000,hii,6,-1.0089227,-1.3444159
00:00:56.548000,hello,1,-0.9108303,-0.45763686
00:00:56.682000,he\1\1,6,-1.0498865,-0.841872
00:00:56.701000,hii,6,-1.0089227,-1.3444159
00:00:56.835000,hhihi !,8,-0.47198278,-1.6327052
00:00:56.845000,subscribed at tier 1 . they've for 2 months !,4,1.6674958,-2.5860684
00:00:56.878000,the bandaid D:,9,0.52973175,0.70880485
00:00:56.978000,first jk,12,-0.296456,0.51206183
00:00:57.052000,hii,6,-1.0089227,-1.3444159
00:00:57.206000,hi !,8,-0.23769423,-1.3979746
00:00:57.392000,hello,1,-0.9108303,-0.45763686
00:00:57.424000,helloo syk,6,-0.8220206,-1.3057787
00:00:57.429000,hi !,8,-0.23769423,-1.3979746
00:00:57.445000,hi syk,8,-0.48974198,-1.1195525
00:00:57.554000,cuti\1\1,6,-1.0392907,-1.0797825
00:00:57.579000,h\1\1,6,-0.9812609,-0.7538617
00:00:57.725000,h\1\1,6,-0.9812609,-0.7538617
00:00:57.731000,you okay syk ?,0,0.68822813,-0.0947597
00:00:57.753000,hi,1,-0.86891156,-0.3875266
00:00:57.753000,h\1\1,6,-0.9812609,-0.7538617
00:00:57.804000,h\1\1,6,-0.9812609,-0.7538617
00:00:58.340000,what are you drinking today,15,1.5545536,0.74998623
00:00:58.408000,your neck ?,0,0.82465243,0.57213235
00:00:58.578000,hi,1,-0.86891156,-0.3875266
00:00:58.732000,good morning :D \1\1,5,0.49314106,-0.63703305
00:00:58.835000,helu,6,-1.088353,-1.1579752
00:00:58.899000,hello !,8,-0.25256678,-1.400702
00:00:58.950000,hello,1,-0.9108303,-0.45763686
00:00:58.996000,are u okay,0,1.116944,0.3970874
00:00:59.039000,hi,1,-0.86891156,-0.3875266
00:00:59.109000,helloo,6,-1.0713297,-1.2765378
00:00:59.146000,hello,1,-0.9108303,-0.45763686
00:00:59.146000,ayo,6,-1.0780975,-0.8918147
00:00:59.171000,!,6,-0.97441727,-0.8567074
00:00:59.216000,hello your late,0,0.7747085,0.49809378
00:00:59.457000,hello everyone !,5,0.19072564,-0.93301564
00:00:59.750000,i love your outfit,15,1.3995113,0.74480736
00:00:59.798000,hey,1,-0.8624938,-0.014734271
00:00:59.878000,hiyo,6,-1.0406648,-1.1678765
00:00:59.911000,heard you went to sleep at 8 ? lol,2,1.8110635,-0.47417265
00:00:59.963000,hey !,8,-0.2248543,-1.1769686
00:00:59.975000,are you ok ?,11,1.364376,0.25636727
00:01:00.191000,h\1\1,6,-0.9812609,-0.7538617
00:01:00.439000,(:,6,-1.0212504,-0.9700563
00:01:00.594000,bandaid ? D:,14,-0.3099717,-0.7344515
00:01:00.731000,h\1\1,6,-0.9812609,-0.7538617
00:01:00.749000,yay ! hope you had a good rest,2,1.6689359,-0.7643057
00:01:00.768000,"hii , you look good today",11,1.2715158,-0.2847308
00:01:00.784000,hey,1,-0.8624938,-0.014734271
00:01:00.802000,you okay ? monkaw,0,0.7538432,-0.060774945
00:01:00.929000,nice outfit,12,0.004235388,0.066300996
00:01:01.170000,hi,1,-0.86891156,-0.3875266
00:01:01.368000,goodmorning <3,8,-0.66262084,-1.5966551
00:01:01.447000,you look,13,0.6215005,1.9170431
00:01:01.506000,cutie,1,-0.81358075,-0.28304824
